player_name,rank,country_name,points
Mitchell Krueger,250,USA,240
Ethan Quinn,251,USA,239
Chun Hsin Tseng,253,Chinese Taipei,237
Enrico Dalla Valle,257,Italy,236
Gonzalo Oliveira,248,Venezuela,236
Tennys Sandgren,255,USA,233
Alibek Kachmazov,256,Russia,233
Nikolás Sánchez Izquierdo,260,Spain,233
Hady Habib,266,Lebanon,232
Ergi Kırkın,258,Turkey,227
Gauthier Onclin,259,Belgium,221
Steve Johnson,261,USA,220
Liam Draxl,262,Canada,220
Maks Kaśnikowski,265,Poland,220
Yuta Shimizu,263,Japan,219
Nicolás Mejía,264,Colombia,218
Ivan Gakhov,272,Russia,215
Egor Gerasimov,275,Belarus,214
Guido Pella,267,Argentina,210
Thai Son Kwiatkowski,268,USA,210
Kimmer Coppejans,270,Belgium,209
Tung Lin Wu,271,Chinese Taipei,209
Renzo Olivo,274,Argentina,208
Rafael Nadal,276,Spain,205
Gonzalo Bueno,273,Peru,205
Geoffrey Blancaneaux,277,France,205
Vilius Gaubas,283,Lithuania,203
Álvaro Guillén Meza,279,Ecuador,203
Clément Chidekh,280,France,201
Samuel Vincent Ruggeri,282,Italy,200
Tristan Lamasine,278,France,199
Edoardo Lavagno,284,Italy,197
Charles Broom,285,United Kingdom,195
Aidan Mayo,269,USA,194
Elmer Møller,293,Denmark,193
Filip Cristian Jianu,286,Romania,192
Marvin Möller,288,Germany,190
João Sousa,287,Portugal,189
Zdeněk Kolář,290,Czech Republic,188
Adolfo Daniel Vallejo,292,Paraguay,187
Andrea Collarini,296,Argentina,187
Mathias Bourgue,289,France,186
Gianluca Mager,294,Italy,185
Michael Vrbenský,297,Czech Republic,184
Giovanni Fonio,302,Italy,184
Alexander Blockx,291,Belgium,183
Brandon Holt,298,USA,182
Jason Jung,299,Chinese Taipei,181
Guido Andreozzi,300,Argentina,180
Pedro Sakamoto,301,Brazil,180
John Isner,304,USA,175
August Holmgren,305,Denmark,175
Daniel Masur,310,Germany,175
Blaise Bicknell,307,Jamaica,174
Ričardas Berankis,308,Lithuania,174
Carlos Taberner,313,Spain,174
Remy Bertola,309,Switzerland,173
Felix Gill,306,United Kingdom,173
Sebastian Fanselow,316,Germany,171
Martin Landaluce,311,Spain,170
João Lucas Reis Da Silva,312,Brazil,169
Paul Jubb,323,United Kingdom,168
Yan Bai,324,China,168
Andrew Paulson,328,Czech Republic,167
Rio Noguchi,314,Japan,167
Federico Agustin Gomez,318,Argentina,167
Toby Kodat,329,USA,166
Raúl Brancaccio,319,Italy,164
Luke Saville,320,Australia,164
Alexander Weis,303,Italy,162
Andrés Andrade,366,Ecuador,160
David Jordá Sanchis,295,Spain,160
Timo Stodder,325,Germany,160
Lucas Poullain,322,France,159
Michael Geerts,327,Belgium,159
Khumoyun Sultanov,326,Uzbekistan,158
Ramkumar Ramanathan,343,India,157
Matheus Pucinelli De Almeida,331,Brazil,157
Jakub Nicod,330,Czech Republic,157
Hernán Casanova,332,Argentina,157
Facundo Mena,335,Argentina,154
Hiroki Moriya,334,Japan,154
Moez Echargui,336,Tunisia,154
Ignacio Buse,380,Peru,152
Sandro Kopp,337,Austria,152
Antoine Bellier,339,Switzerland,151
Vadym Ursu,344,Ukraine,151
Gabriel Debru,341,France,150
Kamil Majchrzak,351,Poland,149
James McCabe,346,Australia,149
Hazem Naw,345,Syria,149
Alexis Gautier,338,France,149
Mikael Ymer,348,Sweden,145
Carlos Sánchez Jover,347,Spain,145
Jonáš Forejtek,356,Czech Republic,144
Mathys Erhard,333,France,144
Kei Nishikori,350,Japan,143
Orlando Luz,352,Brazil,143
Aidan McHugh,342,United Kingdom,143
Giles Hussey,357,United Kingdom,142
Benjamin Lock,353,Zimbabwe,142
Blake Mott,368,Australia,141
Jay Clarke,317,United Kingdom,140
Gerard Campana Lee,349,South Korea,140
Gilbert Klier Junior,355,Brazil,139
Nino Serdarušić,340,Croatia,139
Matej Dodig,367,Croatia,138
Gastão Elias,360,Portugal,137
Corentin Denolly,359,France,137
Tim Handel,362,Germany,136
Daniel Michalski,372,Poland,136
Cezar Crețu,363,Romania,136
Fajing Sun,425,China,136
Robin Bertrand,374,France,136
Guy Den Ouden,364,Netherlands,135
Riccardo Bonadio,378,Italy,134
Alessandro Giannessi,358,Italy,134
Yishai Oliel,397,Israel,134
Martin Krumich,369,Czech Republic,133
Mohamed Safwat,370,Egypt,133
James Trotter,371,Japan,132
Blake Ellis,373,Australia,132
Federico Delbonis,375,Argentina,131
Lorenzo Giustino,377,Italy,131
Matías Soto,384,Chile,130
Omni Kumar,376,USA,130
Marcello Serafini,379,Italy,130
Alberto Barroso Campos,381,Spain,129
Daniel Mérida,394,Spain,128
Mikalai Haliak,365,Belarus,127
Carlos Lopez Montagud,388,Spain,127
Arthur Géa,383,France,126
Louis Weßels,385,Germany,126
Arthur Weber,386,France,125
Daniel Dutra da Silva,393,Brazil,124
Nicholas David Ionel,399,Romania,124
Marius Copil,389,Romania,122
Frederico Ferreira Silva,390,Portugal,122
Yankı Erel,400,Turkey,122
Dan Added,391,France,122
Stefanos Sakellaridis,392,Greece,122
Ilya Ivashka,315,Belarus,121
Máté Valkusz,281,Hungary,121
Jie Cui,395,China,120
Dominik Palan,396,Czech Republic,120
Altuğ Çelikbilek,408,Turkey,119
Jelle Sels,440,Netherlands,119
Damien Wenger,401,Switzerland,119
Yibing Wu,321,China,118
Robert Strombachs,405,Germany,118
Marco Cecchinato,387,Italy,116
Nicola Kuhn,403,Germany,116
Lucas Gerch,382,Germany,116
Andrea Picchione,420,Italy,116
Laurent Lokoli,406,France,115
Alejo Lorenzo Lingua Lavallén,446,Argentina,115
Francesco Forti,407,Italy,115
Giovanni Oradini,402,Italy,115
Valerio Aboian,411,Argentina,115
Nishesh Basavareddy,412,USA,114
Cem İlkel,414,Turkey,114
Cannon Kingsley,416,USA,113
Federico Gaio,419,Italy,113
Bogdan Bobrov,409,Russia,113
Max Houkes,398,Netherlands,113
Stefan Popović,410,Serbia,113
Kalin Ivanovski,417,North Macedonia,112
Daniil Glinka,454,Estonia,112
Gonzalo Villanueva,421,Argentina,112
Kris Van Wyk,422,South Africa,112
Lautaro Midon,423,Argentina,111
Marko Topo,361,Germany,110
Juan Bautista Torres,426,Argentina,110
Evgeny Donskoy,354,Russia,110
Salvatore Caruso,427,Italy,110
Gabi Adrian Boitan,461,Romania,109
Roberto Cid Subervi,415,Dominican Republic,109
Matthew Dellavedova,441,Australia,109
Mateus Alves,429,Brazil,108
Evgenii Tiurnev,493,Russia,108
Mats Rosenkranz,436,Germany,108
Ryan Nijboer,428,Netherlands,108
Svyatoslav Gulin,430,Russia,107
Max Hans Rehberg,432,Germany,106
Bruno Kuzuhara,452,USA,106
Pol Martín Tiffon,435,Spain,105
Naoki Nakagawa,433,Japan,104
Learner Tien,434,USA,104
Steven Diez,424,Canada,104
Nick Chappell,437,USA,104
Kilian Feldbausch,438,Switzerland,103
Oscar Otte,442,Germany,102
Jérôme Kym,470,Switzerland,102
Hynek Bartoň,439,Czech Republic,102
Anton Matusevich,443,United Kingdom,101
Skander Mansouri,404,Tunisia,101
Marat Sharipov,444,Russia,101
Garrett Johns,447,USA,100
Juan Carlos Prado Angelo,448,Bolivia,100
Oleksii Krutykh,451,Ukraine,100
Daniel Cukierman,413,Israel,98
Karl Friberg,449,Sweden,98
Stefan Kozlov,455,USA,97
Rodrigo Pacheco Mendez,462,Mexico,97
Alex Barrena,453,Argentina,97
Peter Gojowczyk,457,Germany,96
Raphaël Collignon,458,Belgium,96
Tibo Colson,460,Belgium,96
Bor Artnak,456,Slovenia,96
Mukund Sasikumar,459,India,95
Eric Vanshelboim,445,Ukraine,95
Leo Borg,465,Sweden,93
Sanhui Shin,464,South Korea,93
Orel Kimhi,466,Israel,93
Yusuke Takahashi,467,Japan,93
Filip Peliwo,468,Poland,93
Gerald Melzer,475,Austria,92
Andre Ilagan,471,USA,92
Miguel Damas,474,Spain,92
Evgeny Karlovskiy,499,Russia,92
Lorenzo Joaquín Rodríguez,450,Argentina,92
Nicolas Zanellato,469,Brazil,92
Toby Samuel,472,United Kingdom,91
Colin Sinclair,473,N/A,90
Makoto Ochi,476,Japan,90
Sander Jong,N/A,Netherlands,89
Sebastian Gima,477,Romania,89
Martin Kližan,572,Slovakia,88
Ernesto Escobedo,418,Mexico,88
Adria Soriano Barrera,478,Colombia,88
Kaichi Uchida,480,Japan,88
Martyn Pawelski,479,Poland,88
Sascha Gueymard Wayenburg,482,France,88
Federico Iannaccone,483,Italy,88
Constantin Bittoun Kouzmine,487,France,88
Kirill Kivattsev,485,Russia,88
Nam Hoang Ly,486,Vietnam,87
Hamish Stewart,495,United Kingdom,87
Petr Nesterov,489,Bulgaria,86
Pedro Boscardin Dias,481,Brazil,86
Yurii Dzhavakian,490,Ukraine,86
Soonwoo Kwon,491,South Korea,85
Matija Pecotić,488,Croatia,85
Kyle Edmund,463,United Kingdom,85
Edas Butvilas,542,Lithuania,85
Strong Kirchheimer,492,USA,85
Imanol López Morillo,494,Spain,85
Arthur Bouquier,512,France,84
Ulises Blanch,528,USA,83
Ryan Seggerman,555,USA,83
